BJD - 2454833, Corrected Flux
3264.143146525, 1.001199867,
3264.163581859, 0.999794715,
3264.184017393, 1.005126726,
3264.204452827, 1.004984495,
3264.224888162, 1.004113595,
3264.245323697, 1.001447576,
3264.265759132, 1.002684274,
3264.286194568, 1.002427872,
3264.306630004, 1.000785667,
3264.327065440, 1.000256727,
3264.347500877, 1.001415879,
3264.388371751, 1.005386672,
3264.408807189, 1.005564820,
3264.429242626, 1.008831892,
3264.449678065, 1.008814803,
3264.551855261, 1.014031501,
3264.572290701, 1.014645786,
3264.592726241, 1.011708471,
3264.613161582, 1.012788550,
3264.633597123, 1.011769326,
3264.654032565, 1.013567740,
3264.674467906, 1.014302742,
3264.694903449, 1.016083382,
3264.715338891, 1.014699456,
3264.735774234, 1.016357496,
3264.756209777, 1.003558613,
3264.776645220, 0.995433125,
3264.797080564, 1.003727582,
3264.817516108, 1.011693614,
3264.837951552, 1.007313064,
3264.878822442, 1.000006014,
3264.899257887, 0.996769985,
3264.919693433, 0.997458495,
3264.940128879, 0.998798634,
3264.960564225, 0.998765009,
3264.980999771, 0.999405433,
3265.001435218, 1.001669429,
3265.021870565, 1.002948056,
3265.042306113, 1.003786156,
3265.062741461, 1.002454631,
3265.083176909, 1.000428660,
3265.124047806, 1.000933431,
3265.144483355, 0.999666174,
3265.164918805, 1.009019761,
3265.185354154, 0.999377792,
3265.205789704, 0.999436833,
3265.226225155, 0.997483391,
3265.246660506, 1.000074562,
3265.267096057, 1.003995661,
3265.287531508, 1.003546163,
3265.307966859, 1.004719113,
3265.328402411, 1.008246720,
3265.369273416, 1.007287236,
3265.451015130, 1.009534333,
3265.471450584, 1.007347179,
3265.491886138, 1.008866500,
3265.512321593, 1.010364939,
3265.532756948, 1.012646773,
3265.553192503, 1.017341815,
3265.573627959, 1.020095641,
3265.614498871, 1.025586019,
3265.634934328, 1.017417508,
3265.655369785, 1.004191177,
3265.675805242, 0.991400313,
3265.696240700, 0.988963212,
3265.716676257, 1.002812891,
3265.757547074, 1.003531162,
3265.777982533, 1.001498474,
3265.798417992, 1.003715602,
3265.818853551, 1.003269402,
3265.859724371, 1.003075228,
3265.880159931, 1.002214875,
3265.900595292, 1.003315571,
3265.921030753, 1.003731151,
3265.941466314, 1.002337692,
3265.961901676, 1.003036948,
3265.982337138, 1.002839308,
3266.002772700, 1.002545444,
3266.023208162, 1.001979649,
3266.043643625, 1.003399760,
3266.064079088, 1.006624199,
3266.084514552, 0.999298541,
3266.104950015, 0.998357628,
3266.125385479, 0.999617914,
3266.145820944, 1.000357882,
3266.166256508, 1.002225335,
3266.186691873, 1.003534885,
3266.207127339, 1.004937709,
3266.227562904, 1.005381721,
3266.247998270, 1.002233417,
3266.268433836, 1.018700557,
3266.288869303, 1.005592313,
3266.309304669, 1.010824618,
3266.370611071, 1.012120386,
3266.391046639, 1.014566753,
3266.411482108, 1.015680175,
3266.431917476, 1.017755664,
3266.452353045, 1.014782295,
3266.472788414, 1.015506885,
3266.493223984, 1.011889713,
3266.513659453, 1.012844886,
3266.534094924, 1.012074892,
3266.554530394, 1.014040351,
3266.595401336, 0.998552293,
3266.615836807, 0.998670380,
3266.636272278, 1.011302526,
3266.656707750, 1.009732588,
3266.677143222, 1.009385858,
3266.697578695, 1.006933437,
3266.718014268, 1.004432105,
3266.738449741, 1.004370229,
3266.758885114, 1.003875309,
3266.779320688, 1.002523419,
3266.799756162, 0.999302081,
3266.820191536, 0.999542172,
3266.840627111, 1.001229495,
3266.861062586, 1.000261623,
3266.881498161, 0.998223777,
3266.901933536, 0.996573228,
3266.922369012, 0.997752647,
3266.942804588, 0.997070394,
3266.963239964, 0.999994307,
3266.983675441, 1.002257584,
3267.004111018, 1.005272662,
3267.024546395, 1.006607660,
3267.044981873, 1.001963933,
3267.085852829, 1.004178995,
3267.106288407, 1.004820643,
3267.126723886, 1.004151343,
3267.147159265, 1.005685156,
3267.167594844, 1.004047739,
3267.188030324, 1.004528621,
3267.208465704, 1.005337180,
3267.228901284, 1.007986447,
3267.249336764, 1.004289284,
3267.269772145, 1.003835006,
3267.290207726, 1.006257656,
3267.331078789, 1.016822597,
3267.351514171, 1.017880491,
3267.371949653, 1.018030543,
3267.392385236, 1.019443860,
3267.412820619, 1.020091421,
3267.433256102, 1.016936502,
3267.453691685, 1.016860761,
3267.474127069, 1.013605578,
3267.494562553, 1.001068686,
3267.514998137, 0.991480673,
3267.535433522, 0.998423561,
3267.555869107, 1.002992081,
3267.576304592, 1.002409451,
3267.596739977, 1.001331755,
3267.617175563, 1.000733741,
3267.637611049, 1.002013865,
3267.658046535, 1.002276671,
3267.678482022, 1.002497184,
3267.698917509, 1.003562393,
3267.719352996, 1.001249138,
3267.739788484, 0.995571955,
3267.760223971, 1.000496366,
3267.780659559, 1.002170879,
3267.821530436, 1.006072678,
3267.841965925, 1.004591864,
3267.862401414, 1.004279298,
3267.882836904, 1.002992810,
3267.903272494, 1.005489448,
3267.923707884, 0.999971134,
3267.944143374, 0.996357884,
3267.964578965, 0.996511876,
3267.985014356, 0.996504952,
3268.005449947, 0.999093183,
3268.025885438, 1.000544475,
3268.066756422, 1.002259058,
3268.087191914, 1.003963954,
3268.107627307, 1.002955990,
3268.128062900, 1.007042785,
3268.148498393, 1.003477638,
3268.168933986, 1.003069704,
3268.189369380, 1.006200371,
3268.230240469, 1.010779453,
3268.250675863, 1.015251374,
3268.271111358, 1.018244949,
3268.311982349, 1.010681609,
3268.332417844, 1.010507312,
3268.352853440, 1.011659649,
3268.373288937, 1.011478627,
3268.393724433, 1.008097296,
3268.414159930, 0.994722496,
3268.434595427, 0.989561125,
3268.455030925, 1.006286015,
3268.475466422, 1.009087346,
3268.495901920, 1.009718078,
3268.516337419, 1.006844055,
3268.557208316, 1.004026433,
3268.577643915, 1.003389866,
3268.598079414, 1.001254452,
3268.618515014, 1.000379643,
3268.638950414, 1.000325387,
3268.659385914, 1.000539906,
3268.679821515, 1.001663472,
3268.700256915, 0.999731626,
3268.720692416, 0.998522092,
3268.741128018, 0.998225318,
3268.761563419, 0.999991913,
3268.802434523, 1.007137642,
3268.822869926, 1.006700831,
3268.843305528, 1.005335986,
3268.863741031, 1.003713883,
3268.884176535, 1.003561980,
3268.904612038, 1.003482171,
3268.925047542, 1.003070823,
3268.945483046, 1.003813759,
3268.965918550, 1.003515856,
3268.986354055, 1.004005426,
3269.006789560, 1.006040133,
3269.027225165, 1.005120758,
3269.047660571, 1.007706068,
3269.068096176, 1.008663011,
3269.088531682, 1.008611959,
3269.108967089, 1.011750223,
3269.129402695, 1.013695574,
3269.149838202, 1.011810888,
3269.170273609, 1.010654421,
3269.190709216, 1.010612443,
3269.211144624, 1.013777689,
3269.231580132, 1.013640183,
3269.252015740, 1.013578278,
3269.292886757, 1.016802589,
3269.313322266, 1.006646729,
3269.333757675, 0.992506853,
3269.354193285, 0.994269671,
3269.374628795, 1.007688545,
3269.395064305, 1.007352693,
3269.415499815, 1.002953061,
3269.435935326, 1.000977720,
3269.456370837, 0.997833342,
3269.476806348, 0.996118691,
3269.497241859, 0.998423546,
3269.517677471, 0.998048191,
3269.538112983, 1.000871466,
3269.558548395, 1.009266964,
3269.578984007, 1.004690279,
3269.599419520, 1.009283451,
3269.619854933, 1.005896644,
3269.640290547, 1.005784577,
3269.660726060, 1.006935648,
3269.681161474, 1.005925994,
3269.701597088, 1.005663940,
3269.722032602, 1.004625400,
3269.742468217, 1.004136047,
3269.783339147, 1.001045009,
3269.803774762, 0.999882888,
3269.824210178, 1.000197673,
3269.844645694, 1.001439201,
3269.865081210, 1.001082079,
3269.885516727, 1.001872019,
3269.905952343, 1.003530666,
3269.926387761, 1.005303058,
3269.946823278, 1.004569105,
3269.967258895, 1.007376572,
3269.987694313, 1.010491963,
3270.028565449, 1.001431187,
3270.049000968, 1.007340181,
3270.069436387, 1.012148617,
3270.089872006, 1.016940566,
3270.110307525, 1.018804113,
3270.130743045, 1.011640495,
3270.151178565, 1.010470702,
3270.171614085, 1.010828065,
3270.192049705, 1.009356547,
3270.212485126, 1.010331763,
3270.232920647, 0.997781564,
3270.294227211, 1.001797555,
3270.314662833, 1.001099178,
3270.335098256, 0.998206905,
3270.355533878, 0.998631601,
3270.375969401, 0.998126040,
3270.396404824, 0.999648084,
3270.416840447, 0.999998255,
3270.437275971, 1.000470036,
3270.457711395, 0.999521080,
3270.478147019, 1.001097783,
3270.498582543, 1.001346339,
3270.519018067, 1.002804862,
3270.539453592, 1.001721532,
3270.559889117, 1.004981308,
3270.580324643, 1.004031551,
3270.621195694, 1.003788113,
3270.641631220, 1.004551862,
3270.662066746, 1.002490480,
3270.682502273, 1.002704196,
3270.702937800, 1.003188161,
3270.723373327, 1.003294487,
3270.764244482, 0.997979827,
3270.784679910, 1.000882652,
3270.805115538, 1.003324752,
3270.825551067, 1.003829691,
3270.845986495, 1.005110777,
3270.866422124, 1.009294009,
3270.886857653, 1.010259330,
3270.927728712, 1.014090439,
3270.948164242, 1.017327160,
3270.968599672, 1.017058076,
3271.009470833, 1.012729915,
3271.029906464, 1.010985094,
3271.050341896, 1.010359526,
3271.070777427, 1.010628917,
3271.091213059, 1.010916630,
3271.111648491, 1.011824170,
3271.132084023, 1.008439865,
3271.152519655, 0.992891776,
3271.172955088, 0.991155969,
3271.193390621, 1.005150208,
3271.213826254, 1.005019793,
3271.254697321, 0.992156683,
3271.275132855, 0.995930693,
3271.295568289, 1.000839157,
3271.316003924, 1.003529281,
3271.336439458, 1.002508315,
3271.356874893, 0.995186847,
3271.377310528, 0.994888092,
3271.397746064, 0.994696720,
3271.418181499, 0.997307428,
3271.438617135, 0.999356369,
3271.459052671, 1.003182120,
3271.479488308, 1.005381841,
3271.499923745, 1.006260743,
3271.520359281, 1.006105204,
3271.540794919, 1.005437440,
3271.561230356, 1.007028580,
3271.581665894, 1.003106897,
3271.602101532, 1.002015619,
3271.622536970, 0.999555967,
3271.642972508, 0.999567914,
3271.663408147, 1.000204215,
3271.683843685, 1.003577013,
3271.704279225, 1.004214962,
3271.745150303, 1.005039777,
3271.765585843, 1.007379341,
3271.786021383, 1.011075953,
3271.806456924, 1.010405842,
3271.826892564, 1.013628514,
3271.847328005, 1.017805470,
3271.867763546, 1.014872599,
3271.888199187, 1.018439536,
3271.908634629, 1.019179252,
3271.929070271, 1.019793076,
3271.949505713, 1.018754698,
3271.990376897, 1.016541646,
3272.010812340, 1.015531586,
3272.031247883, 1.013425248,
